country_name,country_code,imports_usd,exports_usd,population_total,household_consumption_usd,government_expidenture_usd,gross_capital_formation_usd,gdp_usd
"Hong Kong SAR, China",HKG,841321555766.432,853585244635.718,7498900.0,282924780972.577,53716498849.6339,78405347230.4963,427310315921.9933
Hungary,HUN,167980299597.893,179026907175.624,9514251.0,129529350965.623,51311536501.1044,54602718468.596,246490213513.0544
Iceland,ISL,16348934321.3663,15476918000.4086,392404.0,19145407861.4643,10056371220.9857,10252765770.5848,38582528532.077095
India,IND,949660225776.158,880740846621.545,1463865525.0,2241942710882.95,426049018616.505,1368918097792.96,3967990448137.802
Indonesia,IDN,297002335694.886,330279431218.799,285721236.0,798424917156.092,108891403341.584,442636843060.48,1383230259082.069
"Iran, Islamic Rep.",IRN,125082704285.68,93406513015.3745,92417681.0,194650671419.312,48205506641.9814,151502047389.689,362682034180.67694
Ireland,IRL,720923704651.254,1010863026885.02,5484367.0,181973411009.702,81135501214.4313,165501454720.804,718549689178.7032
Italy,ITA,773024967143.803,822290762950.038,58915656.0,1468901126579.72,465678480677.254,567711664035.45,2551557067098.659
Kenya,KEN,29576712518.9126,21429875346.9498,57532493.0,104594833581.501,15241096673.6222,23049518303.472,134738611386.63242
"Korea, Rep.",KOR,760157311935.097,856855674924.231,51684564.0,899151212709.879,330430474924.365,545443846942.771,1871723897566.149
Kosovo,XKX,9247483894.44267,5474849308.4911,1576876.0,10246688218.6106,1672493454.07021,4309856208.79008,12456403295.51932
Kyrgyz Republic,KGZ,14840274240.1743,6065757632.01443,7343064.0,21116051336.0002,2762981179.99137,6326751782.5229,21431267690.3546
Latvia,LVA,32648277349.5623,30422285148.0572,1847785.0,28013518174.1011,11135651602.6047,11695691585.1247,48618869160.32541
Lesotho,LSO,2688114188.42089,1274711831.44221,2363325.0,2490224442.18989,937572549.09217,803801316.682346,2818195950.9857254
Libya,LBY,31718873357.8984,34493399341.6137,7458555.0,14880295025.9864,15523764715.1077,6864625024.41051,40043210749.21992
Lithuania,LTU,65811494794.6705,69488132228.1881,2888774.0,51958707209.9023,18401594592.8941,21173211582.0372,95210150818.3512
Luxembourg,LUX,161209915493.469,192728057158.053,686970.0,33880772557.029,20077401394.8192,15681512744.6917,101157828361.1239
"Macao SAR, China",MAC,24392856119.8833,48045096957.4623,685900.0,15679573987.4293,6350959736.28268,6378233108.87804,52061007670.16902
Madagascar,MDG,6456688115.47184,4185661511.34711,32740678.0,14286400462.9453,2866920539.34886,4738057699.55334,19620352097.72277
Malawi,MWI,4289095537.90267,1588626335.55329,22216120.0,12549879144.7456,2721690967.62031,2347175217.11799,14918276127.13452
Malaysia,MYS,308949499862.759,335105024619.412,35977838.0,291011520801.863,58410905176.5185,96615232526.0058,472193183261.04034
Mali,MLI,8027088524.12728,6638297560.40789,25198821.0,21510130850.4266,3927392240.66265,6020417032.31226,30069149159.68212
Malta,MLT,27745379955.5294,33078900363.3725,579704.0,12373993342.8235,4868645345.17646,5195662465.09803,27771821560.94109
Mauritania,MRT,6327162514.07935,4654787700.16574,5315065.0,6302752678.90648,1872122435.33468,5177410646.10956,11679910946.43711
Mauritius,MUS,12103211066.0688,10508453742.1783,1243741.0,11054337560.9961,2292716387.14787,3215712027.27345,14968008651.526918
Mexico,MEX,738162519126.698,726556896246.645,131946900.0,1287095493969.39,216081165138.437,414378221908.992,1905949258136.7656
